Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
logintest1,Firefox 54.0,,2018-09-17 19:06:16,2018-09-17 19:09:54,3m - 38.671s,INCOMPLETE
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-17 19:06:16,2018-09-17 19:06:58,41.649s,PASSED
openBrowser,Firefox 54.0,,2018-09-17 19:06:17,2018-09-17 19:06:31,14.619s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-17 19:06:31,2018-09-17 19:06:37,6.343s,PASSED
setText,Firefox 54.0,,2018-09-17 19:06:37,2018-09-17 19:06:48,10.737s,PASSED
setText,Firefox 54.0,,2018-09-17 19:06:48,2018-09-17 19:06:49,0.375s,PASSED
setText,Firefox 54.0,,2018-09-17 19:06:49,2018-09-17 19:06:49,0.280s,PASSED
click,Firefox 54.0,,2018-09-17 19:06:49,2018-09-17 19:06:54,5.563s,PASSED
delay,Firefox 54.0,,2018-09-17 19:06:54,2018-09-17 19:06:57,3.024s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-17 19:06:57,2018-09-17 19:06:58,0.121s,PASSED
closeBrowser,Firefox 54.0,,2018-09-17 19:06:58,2018-09-17 19:06:58,0.255s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-17 19:06:58,2018-09-17 19:07:32,34.135s,PASSED
openBrowser,Firefox 54.0,,2018-09-17 19:06:58,2018-09-17 19:07:11,12.742s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-17 19:07:11,2018-09-17 19:07:16,4.982s,PASSED
setText,Firefox 54.0,,2018-09-17 19:07:16,2018-09-17 19:07:22,6.616s,PASSED
setText,Firefox 54.0,,2018-09-17 19:07:22,2018-09-17 19:07:23,0.369s,PASSED
setText,Firefox 54.0,,2018-09-17 19:07:23,2018-09-17 19:07:23,0.391s,PASSED
click,Firefox 54.0,,2018-09-17 19:07:23,2018-09-17 19:07:29,5.750s,PASSED
delay,Firefox 54.0,,2018-09-17 19:07:29,2018-09-17 19:07:32,3.002s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-17 19:07:32,2018-09-17 19:07:32,0.076s,PASSED
closeBrowser,Firefox 54.0,,2018-09-17 19:07:32,2018-09-17 19:07:32,0.194s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-17 19:07:32,2018-09-17 19:08:07,34.810s,PASSED
openBrowser,Firefox 54.0,,2018-09-17 19:07:32,2018-09-17 19:07:45,13.121s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-17 19:07:45,2018-09-17 19:07:50,4.971s,PASSED
setText,Firefox 54.0,,2018-09-17 19:07:50,2018-09-17 19:07:56,6.004s,PASSED
setText,Firefox 54.0,,2018-09-17 19:07:56,2018-09-17 19:07:57,0.428s,PASSED
setText,Firefox 54.0,,2018-09-17 19:07:57,2018-09-17 19:07:57,0.489s,PASSED
click,Firefox 54.0,,2018-09-17 19:07:57,2018-09-17 19:08:03,6.470s,PASSED
delay,Firefox 54.0,,2018-09-17 19:08:03,2018-09-17 19:08:06,3.003s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-17 19:08:06,2018-09-17 19:08:07,0.083s,PASSED
closeBrowser,Firefox 54.0,,2018-09-17 19:08:07,2018-09-17 19:08:07,0.220s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-17 19:08:07,2018-09-17 19:08:44,37.676s,PASSED
openBrowser,Firefox 54.0,,2018-09-17 19:08:07,2018-09-17 19:08:20,12.970s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-17 19:08:20,2018-09-17 19:08:25,5.310s,PASSED
setText,Firefox 54.0,,2018-09-17 19:08:25,2018-09-17 19:08:35,9.681s,PASSED
setText,Firefox 54.0,,2018-09-17 19:08:35,2018-09-17 19:08:35,0.578s,PASSED
setText,Firefox 54.0,,2018-09-17 19:08:35,2018-09-17 19:08:36,0.400s,PASSED
click,Firefox 54.0,,2018-09-17 19:08:36,2018-09-17 19:08:41,5.504s,PASSED
delay,Firefox 54.0,,2018-09-17 19:08:41,2018-09-17 19:08:44,3.002s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-17 19:08:44,2018-09-17 19:08:44,0.040s,PASSED
closeBrowser,Firefox 54.0,,2018-09-17 19:08:44,2018-09-17 19:08:44,0.177s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-17 19:08:44,2018-09-17 19:09:19,34.566s,PASSED
openBrowser,Firefox 54.0,,2018-09-17 19:08:44,2018-09-17 19:08:58,13.175s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-17 19:08:58,2018-09-17 19:09:03,5.252s,PASSED
setText,Firefox 54.0,,2018-09-17 19:09:03,2018-09-17 19:09:09,6.029s,PASSED
setText,Firefox 54.0,,2018-09-17 19:09:09,2018-09-17 19:09:09,0.417s,PASSED
setText,Firefox 54.0,,2018-09-17 19:09:09,2018-09-17 19:09:10,0.284s,PASSED
click,Firefox 54.0,,2018-09-17 19:09:10,2018-09-17 19:09:16,6.130s,PASSED
delay,Firefox 54.0,,2018-09-17 19:09:16,2018-09-17 19:09:19,3.001s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-17 19:09:19,2018-09-17 19:09:19,0.075s,PASSED
closeBrowser,Firefox 54.0,,2018-09-17 19:09:19,2018-09-17 19:09:19,0.202s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-17 19:09:19,2018-09-17 19:09:54,35.420s,PASSED
openBrowser,Firefox 54.0,,2018-09-17 19:09:19,2018-09-17 19:09:32,13.387s,PASSED
