Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
logintest1,Firefox 54.0,,2018-09-18 10:42:43,2018-09-18 10:55:20,12m - 36.726s,INCOMPLETE
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:42:43,2018-09-18 10:43:22,38.461s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:42:44,2018-09-18 10:42:59,15.537s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:42:59,2018-09-18 10:43:04,4.976s,PASSED
setText,Firefox 54.0,,2018-09-18 10:43:04,2018-09-18 10:43:12,8.220s,PASSED
setText,Firefox 54.0,,2018-09-18 10:43:12,2018-09-18 10:43:13,0.410s,PASSED
setText,Firefox 54.0,,2018-09-18 10:43:13,2018-09-18 10:43:13,0.262s,PASSED
click,Firefox 54.0,,2018-09-18 10:43:13,2018-09-18 10:43:18,5.290s,PASSED
delay,Firefox 54.0,,2018-09-18 10:43:18,2018-09-18 10:43:21,3.025s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:43:21,2018-09-18 10:43:21,0.175s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:43:21,2018-09-18 10:43:22,0.263s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:43:22,2018-09-18 10:43:57,35.189s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:43:22,2018-09-18 10:43:35,12.896s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:43:35,2018-09-18 10:43:40,5.552s,PASSED
setText,Firefox 54.0,,2018-09-18 10:43:40,2018-09-18 10:43:47,7.141s,PASSED
setText,Firefox 54.0,,2018-09-18 10:43:47,2018-09-18 10:43:48,0.264s,PASSED
setText,Firefox 54.0,,2018-09-18 10:43:48,2018-09-18 10:43:48,0.376s,PASSED
click,Firefox 54.0,,2018-09-18 10:43:48,2018-09-18 10:43:54,5.645s,PASSED
delay,Firefox 54.0,,2018-09-18 10:43:54,2018-09-18 10:43:57,3.002s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:43:57,2018-09-18 10:43:57,0.075s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:43:57,2018-09-18 10:43:57,0.209s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:43:57,2018-09-18 10:44:34,36.572s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:43:57,2018-09-18 10:44:10,13.348s,PASSED
navigateToUrl,Firefox 54.0,,2018-09-18 10:44:10,2018-09-18 10:44:16,5.490s,PASSED
setText,Firefox 54.0,,2018-09-18 10:44:16,2018-09-18 10:44:23,7.620s,PASSED
setText,Firefox 54.0,,2018-09-18 10:44:23,2018-09-18 10:44:24,0.431s,PASSED
setText,Firefox 54.0,,2018-09-18 10:44:24,2018-09-18 10:44:24,0.398s,PASSED
click,Firefox 54.0,,2018-09-18 10:44:24,2018-09-18 10:44:30,5.992s,PASSED
delay,Firefox 54.0,,2018-09-18 10:44:30,2018-09-18 10:44:33,3.001s,PASSED
verifyElementNotPresent,Firefox 54.0,,2018-09-18 10:44:33,2018-09-18 10:44:33,0.083s,PASSED
closeBrowser,Firefox 54.0,,2018-09-18 10:44:33,2018-09-18 10:44:34,0.185s,PASSED
,,,,,,
Test Cases/nc_bo_login-test,Firefox 54.0,Nc data login test,2018-09-18 10:44:34,2018-09-18 10:45:12,38.946s,PASSED
openBrowser,Firefox 54.0,,2018-09-18 10:44:34,2018-09-18 10:44:46,12.584s,PASSED
